method,gt,eta,seed,nfe,gen_ppl,entropy,num_unique,num_samples
eflm,linear,64.0,2,16,64.90319061279297,4.463165283203125,512,512
eflm,linear,64.0,3,16,60.4327392578125,4.423584938049316,512,512
eflm,linear,0.5,1,32,11.59068775177002,3.792100191116333,512,512
eflm,linear,0.5,2,32,11.108149528503418,3.8267550468444824,512,512
eflm,linear,0.5,3,32,11.984127044677734,3.7651476860046387,512,512
eflm,linear,1.0,1,32,11.399738311767578,3.8071343898773193,512,512
eflm,linear,1.0,2,32,10.842265129089355,3.8329861164093018,512,512
eflm,linear,1.0,3,32,11.700576782226562,3.7916486263275146,512,512
eflm,linear,2.0,1,32,11.27527904510498,3.8420000076293945,512,512
eflm,linear,2.0,2,32,10.73487663269043,3.8579232692718506,512,512
eflm,linear,2.0,3,32,11.536808013916016,3.814103603363037,512,512
eflm,linear,4.0,1,32,10.923726081848145,3.867640733718872,512,512
eflm,linear,4.0,2,32,10.717881202697754,3.8905107975006104,512,512
eflm,linear,4.0,3,32,11.046927452087402,3.8524529933929443,512,512
eflm,linear,8.0,1,32,10.962994575500488,3.918074131011963,512,512
eflm,linear,8.0,2,32,10.61775016784668,3.930608034133911,512,512
eflm,linear,8.0,3,32,10.815865516662598,3.8920211791992188,512,512
eflm,linear,16.0,1,32,11.175748825073242,3.9834423065185547,512,512
eflm,linear,16.0,2,32,10.839398384094238,3.9880051612854004,512,512
eflm,linear,16.0,3,32,10.991827011108398,3.951140880584717,512,512
eflm,linear,32.0,1,32,12.216769218444824,4.076722621917725,512,512
eflm,linear,32.0,2,32,12.038695335388184,4.09401273727417,512,512
eflm,linear,32.0,3,32,11.85180950164795,4.039859771728516,512,512
eflm,linear,64.0,1,32,15.409496307373047,4.231654644012451,512,512
eflm,linear,64.0,2,32,15.517818450927734,4.239429950714111,512,512
eflm,linear,64.0,3,32,14.524709701538086,4.164761543273926,512,512
eflm,linear,0.25,1,64,11.438286781311035,3.805879592895508,512,512
eflm,linear,0.5,1,64,11.215370178222656,3.8055949211120605,512,512
eflm,linear,1.0,1,64,11.109521865844727,3.8244240283966064,512,512
eflm,linear,1.0,2,64,10.573761940002441,3.846778631210327,512,512
eflm,linear,1.0,3,64,11.361591339111328,3.8018383979797363,512,512
eflm,linear,2.0,1,64,10.840874671936035,3.8386263847351074,512,512
eflm,linear,2.0,2,64,10.375428199768066,3.8593051433563232,512,512
eflm,linear,2.0,3,64,10.944550514221191,3.823591947555542,512,512
eflm,linear,4.0,1,64,10.389193534851074,3.8628714084625244,512,512
eflm,linear,4.0,2,64,10.07691764831543,3.88989520072937,512,512
eflm,linear,4.0,3,64,10.578496932983398,3.8510024547576904,512,512
eflm,linear,8.0,1,64,10.139680862426758,3.8989386558532715,512,512
eflm,linear,8.0,2,64,9.87502670288086,3.926921844482422,512,512
eflm,linear,8.0,3,64,10.353926658630371,3.8909828662872314,512,512
eflm,linear,16.0,1,64,10.052827835083008,3.9461050033569336,512,512
eflm,linear,16.0,2,64,9.928316116333008,3.9811465740203857,512,512
eflm,linear,16.0,3,64,10.184326171875,3.9430558681488037,512,512
eflm,linear,32.0,1,64,10.40884017944336,4.0224289894104,512,512
eflm,linear,32.0,2,64,10.466943740844727,4.056950569152832,512,512
eflm,linear,32.0,3,64,10.380066871643066,4.005652904510498,512,512
eflm,linear,64.0,1,64,11.290594100952148,4.108073711395264,512,512
